carlength,carwidth,curbweight,enginesize,horsepower,doornumber,mpg,fueltype_gas,aspiration_turbo,carbody_sedan,carbody_wagon,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,drivewheel_rwd,enginetype_l,enginetype_ohc,enginetype_ohcv,fuelsystem_2bbl,fuelsystem_idi,fuelsystem_mpfi,fuelsystem_spdi,Avg_price_categorical_High,Avg_price_categorical_Medium
141.1,60.3,1488,61.0,48,2,50.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
155.9,63.6,1874,90.0,70,2,40.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
158.8,63.6,1909,90.0,70,4,40.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
157.3,63.8,1876,90.0,68,2,39.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
157.3,63.8,1876,90.0,68,2,34.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
157.3,63.8,2128,98.0,102,2,27.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
157.3,63.8,1967,90.0,68,4,34.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
157.3,63.8,1989,90.0,68,4,34.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
157.3,63.8,1989,90.0,68,4,34.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
157.3,63.8,2191,98.0,102,2,27.0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
174.6,64.6,2535,122.0,88,4,27.0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
144.6,63.9,1713,92.0,58,2,51.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
144.6,63.9,1819,92.0,76,2,34.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
150.0,64.0,1837,79.0,60,2,40.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
150.0,64.0,1940,92.0,76,2,32.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
150.0,64.0,1956,92.0,76,2,32.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
163.4,64.0,2010,92.0,76,4,32.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
157.1,63.9,2024,92.0,76,4,32.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
167.5,65.2,2236,110.0,86,2,30.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
167.5,65.2,2289,110.0,86,2,30.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
175.4,65.2,2304,110.0,86,4,30.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
175.4,62.5,2372,110.0,86,4,30.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
175.4,65.2,2465,110.0,101,4,26.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
169.1,66.0,2293,110.0,100,2,28.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
170.7,61.8,2337,111.0,78,4,26.5,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
155.9,63.6,1874,90.0,70,2,40.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
155.9,63.6,1909,90.0,70,4,40.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
199.6,69.6,4066,258.0,176,4,17.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
199.6,69.6,4066,258.0,176,4,17.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
191.7,70.6,3950,326.0,262,2,15.0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
159.1,64.2,1905,91.0,68,2,34.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
166.8,64.2,1945,91.0,68,4,34.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
166.8,64.2,1950,91.0,68,4,34.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
177.8,66.5,2385,122.0,84,2,29.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
177.8,66.5,2410,122.0,84,4,29.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
177.8,66.5,2385,122.0,84,2,29.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
177.8,66.5,2410,122.0,84,4,29.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
177.8,66.5,2443,122.0,64,4,39.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
177.8,66.5,2425,122.0,84,4,29.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
175.0,66.1,2670,140.0,120,4,23.0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
175.0,66.1,2700,134.0,72,4,35.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
190.9,70.3,3515,183.0,123,4,23.5,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
190.9,70.3,3750,183.0,123,4,23.5,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
202.6,71.7,3770,183.0,123,4,23.5,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
202.6,71.7,3740,234.0,155,4,17.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
208.1,71.7,3900,308.0,184,4,15.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
178.4,68.0,2910,140.0,175,2,21.5,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
157.3,64.4,1918,92.0,68,2,39.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
157.3,64.4,1944,92.0,68,2,34.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
157.3,64.4,2004,92.0,68,2,34.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
157.3,63.8,2145,98.0,102,2,27.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
173.0,65.4,2370,110.0,116,2,26.5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
173.0,65.4,2328,122.0,88,2,28.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
173.2,66.3,2833,156.0,145,2,21.5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
173.2,66.3,2921,156.0,145,2,21.5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
173.2,66.3,2926,156.0,145,2,21.5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
172.4,65.4,2365,122.0,88,4,28.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
172.4,65.4,2405,122.0,88,4,28.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
172.4,65.4,2403,110.0,116,4,26.5,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
172.4,65.4,2403,110.0,116,4,26.5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
165.3,63.8,1889,97.0,69,2,34.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
165.3,63.8,2017,103.0,55,2,47.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
165.3,63.8,1918,97.0,69,2,34.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
165.3,63.8,1938,97.0,69,4,34.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
170.2,63.8,2024,97.0,69,4,34.0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
165.3,63.8,1951,97.0,69,2,34.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
165.6,63.8,2028,97.0,69,2,34.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
165.3,63.8,1971,97.0,69,4,34.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
170.2,63.8,2037,97.0,69,4,34.0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
173.4,65.2,2324,120.0,97,4,30.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
173.4,65.2,2302,120.0,97,4,30.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
181.7,66.5,3095,181.0,152,4,19.5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
184.6,66.5,3296,181.0,152,4,19.5,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
184.6,66.5,3060,181.0,152,4,22.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
170.7,67.9,3071,181.0,160,2,22.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
170.7,67.9,3139,181.0,200,2,20.0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
178.5,67.9,3139,181.0,160,2,22.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
186.7,68.4,3020,120.0,97,4,21.5,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
186.7,68.4,3197,152.0,95,4,30.5,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
198.9,68.4,3230,120.0,97,4,21.5,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
198.9,68.4,3430,152.0,95,4,25.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
186.7,68.4,3075,120.0,95,4,21.5,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
186.7,68.4,3252,152.0,95,4,30.5,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
198.9,68.4,3285,120.0,95,4,21.5,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
198.9,68.4,3485,152.0,95,4,25.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
186.7,68.4,3075,120.0,97,4,21.5,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
186.7,68.4,3252,152.0,95,4,30.5,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
186.7,68.3,3130,134.0,142,4,21.0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
157.3,63.8,1918,90.0,68,2,39.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
157.3,63.8,2128,98.0,102,2,27.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
157.3,63.8,1967,90.0,68,4,34.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
167.3,63.8,1989,90.0,68,4,34.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
167.3,63.8,2191,98.0,68,4,34.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
174.6,64.6,2535,122.0,88,4,27.0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
173.2,66.3,2818,156.0,145,2,21.5,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
168.9,68.3,2778,151.0,143,2,23.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
181.5,66.5,2579,132.0,90,4,27.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
176.8,66.6,2460,132.0,90,2,27.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
186.6,66.5,2658,121.0,110,2,24.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
186.6,66.5,2695,121.0,110,4,24.5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
186.6,66.5,2707,121.0,110,2,24.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
186.6,66.5,2758,121.0,110,4,24.5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
186.6,66.5,2808,121.0,160,2,22.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
186.6,66.5,2847,121.0,160,4,22.5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
158.7,63.6,1985,92.0,62,2,37.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
158.7,63.6,2040,92.0,62,2,34.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
158.7,63.6,2015,92.0,62,4,34.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
169.7,63.6,2280,92.0,62,4,34.0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
166.3,64.4,2081,98.0,70,4,33.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
166.3,64.4,2109,98.0,70,4,33.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
166.3,64.4,2275,110.0,56,4,35.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
166.3,64.4,2275,110.0,56,4,42.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
166.3,64.4,2094,98.0,70,4,42.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
166.3,64.4,2122,98.0,70,4,31.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
166.3,64.4,2140,98.0,70,4,31.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
168.7,64.0,2169,98.0,70,2,31.5,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
168.7,64.0,2204,98.0,70,2,31.5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
168.7,64.0,2265,98.0,112,2,27.5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
168.7,64.0,2300,98.0,112,2,27.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
176.2,65.6,2551,146.0,116,2,27.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
176.2,65.6,2714,146.0,116,2,27.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
175.6,66.5,2326,122.0,92,4,31.5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
175.6,66.5,2480,110.0,73,4,31.5,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
175.6,66.5,2414,122.0,92,4,29.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
175.6,66.5,2414,122.0,92,4,29.5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
175.6,66.5,2458,122.0,92,4,29.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
183.5,67.7,2976,171.0,161,2,22.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
183.5,67.7,3016,171.0,161,2,21.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
187.8,66.5,3131,171.0,156,4,22.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
187.8,66.5,3151,161.0,156,4,21.5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
171.7,65.5,2261,97.0,52,2,41.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
171.7,65.5,2209,109.0,85,2,30.5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
171.7,65.5,2264,97.0,52,4,41.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
171.7,65.5,2212,109.0,85,4,30.5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
171.7,65.5,2275,109.0,85,4,30.5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
171.7,65.5,2319,97.0,68,4,39.5,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
171.7,65.5,2300,109.0,100,4,29.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
165.7,64.0,2221,109.0,90,2,26.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
180.2,66.9,2661,136.0,110,4,21.5,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
180.2,66.9,2579,97.0,68,4,35.5,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
183.1,66.9,2563,109.0,88,4,28.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
188.8,67.2,2912,141.0,114,4,25.5,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
188.8,67.2,3034,141.0,114,4,25.5,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
188.8,67.2,2935,141.0,114,4,26.0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
188.8,67.2,3042,141.0,114,4,26.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
188.8,67.2,3045,130.0,162,4,19.5,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
188.8,67.2,3157,130.0,162,4,19.5,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
188.8,68.9,2952,141.0,114,4,25.5,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
188.8,68.8,3049,141.0,160,4,22.0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
188.8,68.9,3012,173.0,134,4,20.5,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
188.8,68.9,3062,141.0,114,4,22.0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
